ID,BattingTeam,Innings,TotalScore,WicketsLost,WinProbabilityScore
501257,Kings XI Punjab,1,170,6,72.0
501270,Royal Challengers Bangalore,1,185,4,91.0
548339,Mumbai Indians,2,171,6,72.6
501241,Mumbai Indians,1,160,7,61.0
501263,Rajasthan Royals,2,134,0,80.4
548363,Kolkata Knight Riders,2,155,4,73.0
501218,Mumbai Indians,2,124,3,59.4
1082592,Rising Pune Supergiant,2,187,3,97.2
1082621,Royal Challengers Bangalore,1,134,10,30.4
1082614,Mumbai Indians,1,142,8,45.2
1136577,Rajasthan Royals,2,140,10,34.0
1175358,Mumbai Indians,2,176,9,60.6
1178398,Kolkata Knight Riders,1,108,9,19.8
598007,Kings XI Punjab,1,138,10,32.8
598069,Sunrisers Hyderabad,2,132,5,54.2
598008,Kolkata Knight Riders,1,154,8,52.4
548356,Deccan Chargers,1,181,2,98.6
548367,Mumbai Indians,2,173,5,78.8
598046,Mumbai Indians,1,139,5,58.4
548321,Deccan Chargers,1,157,8,54.2
419133,Royal Challengers Bangalore,1,161,4,76.6
598032,Sunrisers Hyderabad,1,144,9,41.4
548329,Deccan Chargers,1,187,4,92.2
548354,Kings XI Punjab,2,134,8,40.4
419153,Kolkata Knight Riders,1,139,8,43.4
501225,Kochi Tuskers Kerala,1,109,10,15.4
548380,Delhi Daredevils,2,136,10,31.6
548378,Kolkata Knight Riders,1,162,4,77.2
548343,Kings XI Punjab,1,156,8,53.6
598057,Kolkata Knight Riders,2,116,5,44.6
548307,Kolkata Knight Riders,1,97,9,13.2
501211,Chennai Super Kings,1,183,5,84.8
419111,Rajasthan Royals,1,141,6,54.6
598019,Mumbai Indians,2,92,10,5.2
548331,Royal Challengers Bangalore,2,166,5,74.6
598024,Mumbai Indians,1,161,4,76.6
598024,Delhi Daredevils,2,165,1,94.0
419148,Kolkata Knight Riders,1,160,9,51.0
419148,Royal Challengers Bangalore,2,162,3,82.2
598026,Chennai Super Kings,2,186,5,86.6
598011,Pune Warriors,2,142,8,45.2
1082607,Rising Pune Supergiant,1,161,8,56.6
1082615,Rising Pune Supergiant,2,179,4,87.4
1175367,Rajasthan Royals,2,167,8,60.2
1136615,Delhi Daredevils,1,174,4,84.4
598069,Kolkata Knight Riders,1,130,7,43.0
598044,Sunrisers Hyderabad,2,81,4,28.6
419156,Kings XI Punjab,1,174,3,89.4
501229,Deccan Chargers,1,129,7,42.4
548361,Rajasthan Royals,1,126,6,45.6
419163,Chennai Super Kings,1,142,7,50.2
548355,Mumbai Indians,2,174,8,64.4
548366,Deccan Chargers,1,190,4,94.0
548315,Kolkata Knight Riders,1,165,8,59.0
501236,Deccan Chargers,2,146,8,47.6
501225,Rajasthan Royals,2,111,2,56.6
598030,Sunrisers Hyderabad,1,159,6,65.4
598064,Royal Challengers Bangalore,1,190,3,99.0
548341,Pune Warriors,2,159,7,60.4
598047,Rajasthan Royals,2,182,5,84.2
419158,Rajasthan Royals,1,132,9,34.2
501237,Mumbai Indians,1,159,5,70.4
501209,Rajasthan Royals,1,159,4,75.4
419118,Rajasthan Royals,1,168,7,65.8
501205,Royal Challengers Bangalore,1,140,4,64.0
501205,Mumbai Indians,2,143,1,80.8
419155,Chennai Super Kings,1,112,9,22.2
419121,Kings XI Punjab,1,136,8,41.6
1136599,Royal Challengers Bangalore,2,141,6,54.6
1175367,Chennai Super Kings,1,175,5,80.0
1175358,Delhi Capitals,1,213,6,97.8
548328,Kings XI Punjab,1,124,7,39.4
598031,Kolkata Knight Riders,2,150,4,70.0
419136,Kings XI Punjab,1,181,5,83.6
419136,Royal Challengers Bangalore,2,184,4,90.4
548379,Chennai Super Kings,1,187,5,87.2
548369,Kings XI Punjab,1,136,8,41.6
598066,Kings XI Punjab,1,183,8,69.8
501252,Royal Challengers Bangalore,2,151,1,85.6
598009,Pune Warriors,2,148,3,73.8
501268,Royal Challengers Bangalore,1,175,4,85.0
419139,Kolkata Knight Riders,1,200,3,105.0
501213,Pune Warriors,1,187,5,87.2
548362,Pune Warriors,2,138,9,37.8
501245,Kolkata Knight Riders,2,61,2,26.6
548376,Royal Challengers Bangalore,2,123,9,28.8
548355,Chennai Super Kings,1,173,8,63.8
548364,Chennai Super Kings,2,115,1,64.0
598073,Chennai Super Kings,2,125,9,30.0
548316,Chennai Super Kings,1,110,8,26.0
501200,Royal Challengers Bangalore,2,162,4,77.2
598005,Kolkata Knight Riders,2,125,10,25.0
598027,Pune Warriors,2,133,9,34.8
598035,Pune Warriors,2,149,4,69.4
419142,Mumbai Indians,2,141,9,39.6
548370,Kolkata Knight Riders,1,140,7,49.0
548341,Deccan Chargers,1,177,4,86.2
